"","USER","GENDER","avatars","COUNT","intention","power","sexualization","experience","AV_sex"
"3","dummy123","0",1,2,"good","not powerful","sexualized","unexperienced","female"
"4","dummy123","0",2,3,"bad","not powerful","sexualized","unexperienced","female"
"5","dummy123","0",5,2,"good","powerful","sexualized","unexperienced","female"
"6","dummy123","0",9,4,"good","not powerful","sexualized","experienced","female"
"7","dummy123","0",13,2,"good","powerful","sexualized","experienced","female"
"8","dummy123","0",17,3,"good","not powerful","sexualized","unexperienced","male"
"9","dummy123","0",21,5,"good","powerful","sexualized","unexperienced","male"
"10","dummy123","0",26,1,"bad","not powerful","sexualized","experienced","male"
"11","dummy123","0",30,3,"bad","powerful","sexualized","experienced","male"
"12","dummy123","0",22,0,"bad","powerful","sexualized","unexperienced","male"
"13","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",1,3,"good","not powerful","sexualized","unexperienced","female"
"14","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",3,2,"good","powerful","not sexualized","unexperienced","female"
"15","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",4,2,"bad","powerful","not sexualized","unexperienced","female"
"16","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",5,2,"good","powerful","sexualized","unexperienced","female"
"17","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",7,2,"good","not powerful","not sexualized","experienced","female"
"18","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",19,5,"good","powerful","not sexualized","unexperienced","male"
"19","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",20,3,"bad","powerful","not sexualized","unexperienced","male"
"20","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",22,3,"bad","powerful","sexualized","unexperienced","male"
"21","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",23,1,"good","not powerful","not sexualized","experienced","male"
"22","dummyVA8TC8jLCQu1AHpGOpnbtGqrx","0",24,2,"bad","not powerful","not sexualized","experienced","male"
