"","AvatarId","Intention","Power","Sexual","Experience","Sex"
"1",1,"good","not powerful","sexualized","unexperienced","female"
"2",2,"bad","not powerful","sexualized","unexperienced","female"
"3",3,"good","powerful","not sexualized","unexperienced","female"
"4",4,"bad","powerful","not sexualized","unexperienced","female"
"5",5,"good","powerful","sexualized","unexperienced","female"
"6",6,"bad","powerful","sexualized","unexperienced","female"
"7",7,"good","not powerful","not sexualized","experienced","female"
"8",8,"bad","not powerful","not sexualized","experienced","female"
"9",9,"good","not powerful","sexualized","experienced","female"
"10",10,"bad","not powerful","sexualized","experienced","female"
"11",11,"good","powerful","not sexualized","experienced","female"
"12",12,"bad","powerful","not sexualized","experienced","female"
"13",13,"good","powerful","sexualized","experienced","female"
"14",14,"bad","powerful","sexualized","experienced","female"
"15",15,"good","not powerful","not sexualized","unexperienced","female"
"16",16,"bad","not powerful","not sexualized","unexperienced","female"
"17",17,"good","not powerful","sexualized","unexperienced","male"
"18",18,"bad","not powerful","sexualized","unexperienced","male"
"19",19,"good","powerful","not sexualized","unexperienced","male"
"20",20,"bad","powerful","not sexualized","unexperienced","male"
"21",21,"good","powerful","sexualized","unexperienced","male"
"22",22,"bad","powerful","sexualized","unexperienced","male"
"23",23,"good","not powerful","not sexualized","experienced","male"
"24",24,"bad","not powerful","not sexualized","experienced","male"
"25",25,"good","not powerful","sexualized","experienced","male"
"26",26,"bad","not powerful","sexualized","experienced","male"
"27",27,"good","powerful","not sexualized","experienced","male"
"28",28,"bad","powerful","not sexualized","experienced","male"
"29",29,"good","powerful","sexualized","experienced","male"
"30",30,"bad","powerful","sexualized","experienced","male"
"31",31,"good","not powerful","not sexualized","unexperienced","male"
"32",32,"bad","not powerful","not sexualized","unexperienced","male"
